Name,Type,Total,Total Attack,Total Defense,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
Pikachu,Electric,320,195,125,35,55,40,50,50,90,1,False
Raichu,Electric,485,290,195,60,90,55,90,80,110,1,False
Magnemite,Electric,325,175,150,25,35,70,95,55,45,1,False
Magneton,Electric,465,250,215,50,60,95,120,70,70,1,False
Voltorb,Electric,330,185,145,40,30,50,55,55,100,1,False
Electrode,Electric,480,270,210,60,50,70,80,80,140,1,False
Electabuzz,Electric,490,283,207,65,83,57,95,85,105,1,False
Jolteon,Electric,525,305,220,65,65,60,110,95,130,1,False
Zapdos,Electric,580,315,265,90,90,85,125,90,100,1,True
Pichu,Electric,205,135,70,20,40,15,35,35,60,2,False
Mareep,Electric,280,140,140,55,40,40,65,45,35,2,False
Flaaffy,Electric,365,180,185,70,55,55,80,60,45,2,False
Ampharos,Electric,510,245,265,90,75,85,115,90,55,2,False
AmpharosMega Ampharos,Electric,610,305,305,90,95,105,165,110,45,2,False
Elekid,Electric,360,223,137,45,63,37,65,55,95,2,False
Raikou,Electric,580,315,265,90,85,75,115,100,115,2,True
Electrike,Electric,295,175,120,40,45,40,65,40,65,3,False
Manectric,Electric,475,285,190,70,75,60,105,60,105,3,False
ManectricMega Manectric,Electric,575,345,230,70,75,80,135,80,135,3,False
Plusle,Electric,405,230,175,60,50,40,85,75,95,3,False
Minun,Electric,405,210,195,60,40,50,75,85,95,3,False
Shinx,Electric,263,150,113,45,65,34,40,34,45,4,False
Luxio,Electric,363,205,158,60,85,49,60,49,60,4,False
Luxray,Electric,523,285,238,80,120,79,95,79,70,4,False
Pachirisu,Electric,405,185,220,60,45,70,45,90,95,4,False
Magnezone,Electric,535,260,275,70,70,115,130,90,60,4,False
Electivire,Electric,540,313,227,75,123,67,95,85,95,4,False
Rotom,Electric,440,236,204,50,50,77,95,77,91,4,False
RotomHeat Rotom,Electric,520,256,264,50,65,107,105,107,86,4,False
RotomWash Rotom,Electric,520,256,264,50,65,107,105,107,86,4,False
RotomFrost Rotom,Electric,520,256,264,50,65,107,105,107,86,4,False
RotomFan Rotom,Electric,520,256,264,50,65,107,105,107,86,4,False
RotomMow Rotom,Electric,520,256,264,50,65,107,105,107,86,4,False
Blitzle,Electric,295,186,109,45,60,32,50,32,76,5,False
Zebstrika,Electric,497,296,201,75,100,63,80,63,116,5,False
Emolga,Electric,428,253,175,55,75,60,75,60,103,5,False
Tynamo,Electric,275,160,115,35,55,40,45,40,60,5,False
Eelektrik,Electric,405,200,205,65,85,70,75,70,40,5,False
Eelektross,Electric,515,270,245,85,115,80,105,80,50,5,False
ThundurusIncarnate Forme,Electric,580,351,229,79,115,70,125,80,111,5,True
ThundurusTherian Forme,Electric,580,351,229,79,105,70,145,80,101,5,True
Helioptile,Electric,289,169,120,44,38,33,61,43,70,6,False
Heliolisk,Electric,481,273,208,62,55,52,109,94,109,6,False
Dedenne,Electric,431,240,191,67,58,57,81,67,101,6,False
Chinchou,Electric,330,161,169,75,38,38,56,56,67,2,False
Lanturn,Electric,460,201,259,125,58,58,76,76,67,2,False
Joltik,Electric,319,169,150,50,47,50,57,50,65,5,False
Galvantula,Electric,472,282,190,70,77,60,97,60,108,5,False
Stunfisk,Electric,471,179,292,109,66,84,81,99,32,5,False
Zekrom,Electric,680,360,320,100,150,120,120,100,90,5,True
