Name,Type,Total,Total Attack,Total Defense,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
TornadusIncarnate Forme,Flying,580,351,229,79,115,70,125,80,111,5,True
TornadusTherian Forme,Flying,580,331,249,79,100,80,110,90,121,5,True
Noibat,Flying,245,130,115,40,30,35,45,40,55,6,False
Noivern,Flying,535,290,245,85,70,80,97,80,123,6,False
Charizard,Flying,534,293,241,78,84,78,109,85,100,1,False
CharizardMega Charizard Y,Flying,634,363,271,78,104,78,159,115,100,1,False
Butterfree,Flying,395,205,190,60,45,50,90,80,70,1,False
Pidgey,Flying,251,136,115,40,45,40,35,35,56,1,False
Pidgeotto,Flying,349,181,168,63,60,55,50,50,71,1,False
Pidgeot,Flying,479,251,228,83,80,75,70,70,101,1,False
PidgeotMega Pidgeot,Flying,579,336,243,83,80,80,135,80,121,1,False
Spearow,Flying,262,161,101,40,60,30,31,31,70,1,False
Fearow,Flying,442,251,191,65,90,65,61,61,100,1,False
Zubat,Flying,245,130,115,40,45,35,30,40,55,1,False
Golbat,Flying,455,235,220,75,80,70,65,75,90,1,False
Farfetch'd,Flying,352,183,169,52,65,55,58,62,60,1,False
Doduo,Flying,310,195,115,35,85,45,35,35,75,1,False
Dodrio,Flying,460,270,190,60,110,70,60,60,100,1,False
Scyther,Flying,500,270,230,70,110,80,55,80,105,1,False
PinsirMega Pinsir,Flying,600,325,275,65,155,120,65,90,105,1,False
Gyarados,Flying,540,266,274,95,125,79,60,100,81,1,False
Aerodactyl,Flying,515,295,220,80,105,65,60,75,130,1,False
AerodactylMega Aerodactyl,Flying,615,355,260,80,135,85,70,95,150,1,False
Articuno,Flying,580,265,315,90,85,100,95,125,85,1,True
Zapdos,Flying,580,315,265,90,90,85,125,90,100,1,True
Moltres,Flying,580,315,265,90,100,90,125,85,90,1,True
Dragonite,Flying,600,314,286,91,134,95,100,100,80,1,False
Hoothoot,Flying,262,116,146,60,30,30,36,56,50,2,False
