Name,Type,Total,Total Attack,Total Defense,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
Gastly,Ghost,310,215,95,30,35,30,100,35,80,1,False
Haunter,Ghost,405,260,145,45,50,45,115,55,95,1,False
Gengar,Ghost,500,305,195,60,65,60,130,75,110,1,False
GengarMega Gengar,Ghost,600,365,235,60,65,80,170,95,130,1,False
Misdreavus,Ghost,435,230,205,60,60,60,85,85,85,2,False
Shuppet,Ghost,295,183,112,44,75,35,63,33,45,3,False
Banette,Ghost,455,263,192,64,115,65,83,63,65,3,False
BanetteMega Banette,Ghost,555,333,222,64,165,75,93,83,75,3,False
Duskull,Ghost,295,95,200,20,40,90,30,90,25,3,False
Dusclops,Ghost,455,155,300,40,70,130,60,130,25,3,False
Drifloon,Ghost,348,180,168,90,50,34,60,44,70,4,False
Drifblim,Ghost,498,250,248,150,80,44,90,54,80,4,False
Mismagius,Ghost,495,270,225,60,60,60,105,105,105,4,False
Spiritomb,Ghost,485,219,266,50,92,108,92,108,35,4,False
Dusknoir,Ghost,525,210,315,45,100,135,65,135,45,4,False
GiratinaAltered Forme,Ghost,680,290,390,150,100,120,100,120,90,4,True
GiratinaOrigin Forme,Ghost,680,330,350,150,120,100,120,100,90,4,True
Yamask,Ghost,303,115,188,38,30,85,55,65,30,5,False
Cofagrigus,Ghost,483,175,308,58,50,145,95,105,30,5,False
Litwick,Ghost,275,115,160,50,30,55,65,55,20,5,False
Lampent,Ghost,370,190,180,60,40,60,95,60,55,5,False
Chandelure,Ghost,520,280,240,60,55,90,145,90,80,5,False
Phantump,Ghost,309,158,151,43,70,48,50,60,38,6,False
Trevenant,Ghost,474,231,243,85,110,76,65,82,56,6,False
PumpkabooAverage Size,Ghost,335,161,174,49,66,70,44,55,51,6,False
PumpkabooSmall Size,Ghost,335,166,169,44,66,70,44,55,56,6,False
PumpkabooLarge Size,Ghost,335,156,179,54,66,70,44,55,46,6,False
PumpkabooSuper Size,Ghost,335,151,184,59,66,70,44,55,41,6,False
GourgeistAverage Size,Ghost,494,232,262,65,90,122,58,75,84,6,False
GourgeistSmall Size,Ghost,494,242,252,55,85,122,58,75,99,6,False
GourgeistLarge Size,Ghost,494,222,272,75,95,122,58,75,69,6,False
GourgeistSuper Size,Ghost,494,212,282,85,100,122,58,75,54,6,False
Shedinja,Ghost,236,160,76,1,90,45,30,30,40,3,False
Sableye,Ghost,380,190,190,50,75,75,65,65,50,3,False
SableyeMega Sableye,Ghost,480,190,290,50,85,125,85,115,20,3,False
Froslass,Ghost,480,270,210,70,80,70,80,70,110,4,False
Rotom,Ghost,440,236,204,50,50,77,95,77,91,4,False
Frillish,Ghost,335,145,190,55,40,50,65,85,40,5,False
Jellicent,Ghost,480,205,275,100,60,70,85,105,60,5,False
Golett,Ghost,303,144,159,59,74,50,35,50,35,5,False
Golurk,Ghost,483,234,249,89,124,80,55,80,55,5,False
Honedge,Ghost,325,143,182,45,80,100,35,37,28,6,False
Doublade,Ghost,448,190,258,59,110,150,45,49,35,6,False
AegislashBlade Forme,Ghost,520,360,160,60,150,50,150,50,60,6,False
AegislashShield Forme,Ghost,520,160,360,60,50,150,50,150,60,6,False
HoopaHoopa Confined,Ghost,600,330,270,80,110,60,150,130,70,6,True
