Name,Type,Total,Total Attack,Total Defense,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
Jynx,Ice,455,260,195,65,50,35,115,95,95,1,False
Articuno,Ice,580,265,315,90,85,100,95,125,85,1,True
Swinub,Ice,250,130,120,50,50,40,30,30,50,2,False
Piloswine,Ice,450,210,240,100,100,80,60,60,50,2,False
Delibird,Ice,330,195,135,45,55,45,65,45,75,2,False
Smoochum,Ice,305,180,125,45,30,15,85,65,65,2,False
Snorunt,Ice,300,150,150,50,50,50,50,50,50,3,False
Glalie,Ice,480,240,240,80,80,80,80,80,80,3,False
GlalieMega Glalie,Ice,580,340,240,80,120,80,120,80,100,3,False
Spheal,Ice,290,120,170,70,40,50,55,50,25,3,False
Sealeo,Ice,410,180,230,90,60,70,75,70,45,3,False
Walrein,Ice,530,240,290,110,80,90,95,90,65,3,False
Regice,Ice,580,200,380,80,50,100,100,200,50,3,True
Glaceon,Ice,525,255,270,65,60,110,130,95,65,4,False
Mamoswine,Ice,530,280,250,110,130,80,70,60,80,4,False
Froslass,Ice,480,270,210,70,80,70,80,70,110,4,False
Vanillite,Ice,305,159,146,36,50,50,65,60,44,5,False
Vanillish,Ice,395,204,191,51,65,65,80,75,59,5,False
Vanilluxe,Ice,535,284,251,71,95,85,110,95,79,5,False
Cubchoo,Ice,305,170,135,55,70,40,60,40,40,5,False
Beartic,Ice,485,230,255,95,110,80,70,80,50,5,False
Cryogonal,Ice,485,250,235,70,50,30,95,135,105,5,False
Bergmite,Ice,304,129,175,55,69,85,32,35,28,6,False
Avalugg,Ice,514,189,325,95,117,184,44,46,28,6,False
Dewgong,Ice,475,210,265,90,70,80,70,95,70,1,False
Cloyster,Ice,525,250,275,50,95,180,85,45,70,1,False
Lapras,Ice,535,230,305,130,85,80,85,95,60,1,False
Sneasel,Ice,430,245,185,55,95,55,35,75,115,2,False
Snover,Ice,334,164,170,60,62,50,62,60,40,4,False
Abomasnow,Ice,494,244,250,90,92,75,92,85,60,4,False
AbomasnowMega Abomasnow,Ice,594,294,300,90,132,105,132,105,30,4,False
Weavile,Ice,510,290,220,70,120,65,45,85,125,4,False
RotomFrost Rotom,Ice,520,256,264,50,65,107,105,107,86,4,False
Kyurem,Ice,660,355,305,125,130,90,130,90,95,5,True
KyuremBlack Kyurem,Ice,700,385,315,125,170,100,120,90,95,5,True
KyuremWhite Kyurem,Ice,700,385,315,125,120,90,170,100,95,5,True
Amaura,Ice,362,172,190,77,59,50,67,63,46,6,False
Aurorus,Ice,521,234,287,123,77,72,99,92,58,6,False
