Name,Type,Total,Total Attack,Total Defense,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
Ekans,Poison,288,155,133,35,60,44,40,54,55,1,False
Arbok,Poison,438,230,208,60,85,69,65,79,80,1,False
Nidoran♀,Poison,275,128,147,55,47,52,40,40,41,1,False
Nidorina,Poison,365,173,192,70,62,67,55,55,56,1,False
Nidoqueen,Poison,505,243,262,90,92,87,75,85,76,1,False
Nidoran♂,Poison,273,147,126,46,57,40,40,40,50,1,False
Nidorino,Poison,365,192,173,61,72,57,55,55,65,1,False
Nidoking,Poison,505,272,233,81,102,77,85,75,85,1,False
Zubat,Poison,245,130,115,40,45,35,30,40,55,1,False
Golbat,Poison,455,235,220,75,80,70,65,75,90,1,False
Grimer,Poison,325,145,180,80,80,50,40,50,25,1,False
Muk,Poison,500,220,280,105,105,75,65,100,50,1,False
Koffing,Poison,340,160,180,40,65,95,60,45,35,1,False
Weezing,Poison,490,235,255,65,90,120,85,70,60,1,False
Crobat,Poison,535,290,245,85,90,80,70,80,130,2,False
Gulpin,Poison,302,126,176,70,43,53,43,53,40,3,False
Swalot,Poison,467,201,266,100,73,83,73,83,55,3,False
Seviper,Poison,458,265,193,73,100,60,100,60,65,3,False
Stunky,Poison,329,178,151,63,63,47,41,41,74,4,False
Skuntank,Poison,479,248,231,103,93,67,71,61,84,4,False
Skorupi,Poison,330,145,185,40,50,90,30,55,65,4,False
Drapion,Poison,500,245,255,70,90,110,60,75,95,4,False
Croagunk,Poison,300,172,128,48,61,40,61,40,50,4,False
Toxicroak,Poison,490,277,213,83,106,65,86,65,85,4,False
Trubbish,Poison,329,155,174,50,50,62,40,62,65,5,False
Garbodor,Poison,474,230,244,80,95,82,60,82,75,5,False
Skrelp,Poison,320,150,170,50,60,60,60,60,30,6,False
Dragalge,Poison,494,216,278,65,75,90,97,123,44,6,False
Bulbasaur,Poison,318,159,159,45,49,49,65,65,45,1,False
Ivysaur,Poison,405,202,203,60,62,63,80,80,60,1,False
Venusaur,Poison,525,262,263,80,82,83,100,100,80,1,False
VenusaurMega Venusaur,Poison,625,302,323,80,100,123,122,120,80,1,False
Weedle,Poison,195,105,90,40,35,30,20,20,50,1,False
Kakuna,Poison,205,85,120,45,25,50,25,25,35,1,False
Beedrill,Poison,395,210,185,65,90,40,45,80,75,1,False
BeedrillMega Beedrill,Poison,495,310,185,65,150,40,15,80,145,1,False
Oddish,Poison,320,155,165,45,50,55,75,65,30,1,False
Gloom,Poison,395,190,205,60,65,70,85,75,40,1,False
Vileplume,Poison,490,240,250,75,80,85,110,90,50,1,False
Venonat,Poison,305,140,165,60,55,50,40,55,45,1,False
Venomoth,Poison,450,245,205,70,65,60,90,75,90,1,False
Bellsprout,Poison,300,185,115,50,75,35,70,30,40,1,False
Weepinbell,Poison,390,230,160,65,90,50,85,45,55,1,False
Victreebel,Poison,490,275,215,80,105,65,100,70,70,1,False
Tentacool,Poison,335,160,175,40,40,35,50,100,70,1,False
Tentacruel,Poison,515,250,265,80,70,65,80,120,100,1,False
Gastly,Poison,310,215,95,30,35,30,100,35,80,1,False
Haunter,Poison,405,260,145,45,50,45,115,55,95,1,False
Gengar,Poison,500,305,195,60,65,60,130,75,110,1,False
GengarMega Gengar,Poison,600,365,235,60,65,80,170,95,130,1,False
Spinarak,Poison,250,130,120,40,60,40,40,40,30,2,False
Ariados,Poison,390,190,200,70,90,70,60,60,40,2,False
Qwilfish,Poison,430,235,195,65,95,75,55,55,85,2,False
Dustox,Poison,385,165,220,60,50,70,50,90,65,3,False
Roselia,Poison,400,225,175,50,60,45,100,80,65,3,False
Budew,Poison,280,135,145,40,30,35,50,70,55,4,False
Roserade,Poison,515,285,230,60,70,65,125,105,90,4,False
Venipede,Poison,260,132,128,30,45,59,30,39,57,5,False
Whirlipede,Poison,360,142,218,40,55,99,40,79,47,5,False
Scolipede,Poison,485,267,218,60,100,89,55,69,112,5,False
Foongus,Poison,294,125,169,69,55,45,55,55,15,5,False
Amoonguss,Poison,464,200,264,114,85,70,85,80,30,5,False
