ID,Name,Type 1,Type 2,Total,Total Attack,Total Defense,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
1,Bulbasaur,Grass,Poison,318,159,159,45,49,49,65,65,45,1,False
2,Ivysaur,Grass,Poison,405,202,203,60,62,63,80,80,60,1,False
3,Venusaur,Grass,Poison,525,262,263,80,82,83,100,100,80,1,False
3,VenusaurMega Venusaur,Grass,Poison,625,302,323,80,100,123,122,120,80,1,False
4,Charmander,Fire,,309,177,132,39,52,43,60,50,65,1,False
5,Charmeleon,Fire,,405,224,181,58,64,58,80,65,80,1,False
6,Charizard,Fire,Flying,534,293,241,78,84,78,109,85,100,1,False
6,CharizardMega Charizard X,Fire,Dragon,634,360,274,78,130,111,130,85,100,1,False
6,CharizardMega Charizard Y,Fire,Flying,634,363,271,78,104,78,159,115,100,1,False
7,Squirtle,Water,,314,141,173,44,48,65,50,64,43,1,False
8,Wartortle,Water,,405,186,219,59,63,80,65,80,58,1,False
9,Blastoise,Water,,530,246,284,79,83,100,85,105,78,1,False
9,BlastoiseMega Blastoise,Water,,630,316,314,79,103,120,135,115,78,1,False
10,Caterpie,Bug,,195,95,100,45,30,35,20,20,45,1,False
11,Metapod,Bug,,205,75,130,50,20,55,25,25,30,1,False
12,Butterfree,Bug,Flying,395,205,190,60,45,50,90,80,70,1,False
13,Weedle,Bug,Poison,195,105,90,40,35,30,20,20,50,1,False
14,Kakuna,Bug,Poison,205,85,120,45,25,50,25,25,35,1,False
15,Beedrill,Bug,Poison,395,210,185,65,90,40,45,80,75,1,False
15,BeedrillMega Beedrill,Bug,Poison,495,310,185,65,150,40,15,80,145,1,False
16,Pidgey,Normal,Flying,251,136,115,40,45,40,35,35,56,1,False
17,Pidgeotto,Normal,Flying,349,181,168,63,60,55,50,50,71,1,False
18,Pidgeot,Normal,Flying,479,251,228,83,80,75,70,70,101,1,False
18,PidgeotMega Pidgeot,Normal,Flying,579,336,243,83,80,80,135,80,121,1,False
19,Rattata,Normal,,253,153,100,30,56,35,25,35,72,1,False
20,Raticate,Normal,,413,228,185,55,81,60,50,70,97,1,False
21,Spearow,Normal,Flying,262,161,101,40,60,30,31,31,70,1,False
22,Fearow,Normal,Flying,442,251,191,65,90,65,61,61,100,1,False
23,Ekans,Poison,,288,155,133,35,60,44,40,54,55,1,False
24,Arbok,Poison,,438,230,208,60,85,69,65,79,80,1,False
25,Pikachu,Electric,,320,195,125,35,55,40,50,50,90,1,False
26,Raichu,Electric,,485,290,195,60,90,55,90,80,110,1,False
27,Sandshrew,Ground,,300,135,165,50,75,85,20,30,40,1,False
28,Sandslash,Ground,,450,210,240,75,100,110,45,55,65,1,False
29,Nidoran♀,Poison,,275,128,147,55,47,52,40,40,41,1,False
30,Nidorina,Poison,,365,173,192,70,62,67,55,55,56,1,False
31,Nidoqueen,Poison,Ground,505,243,262,90,92,87,75,85,76,1,False
32,Nidoran♂,Poison,,273,147,126,46,57,40,40,40,50,1,False
33,Nidorino,Poison,,365,192,173,61,72,57,55,55,65,1,False
34,Nidoking,Poison,Ground,505,272,233,81,102,77,85,75,85,1,False
35,Clefairy,Fairy,,323,140,183,70,45,48,60,65,35,1,False
36,Clefable,Fairy,,483,225,258,95,70,73,95,90,60,1,False
37,Vulpix,Fire,,299,156,143,38,41,40,50,65,65,1,False
38,Ninetales,Fire,,505,257,248,73,76,75,81,100,100,1,False
39,Jigglypuff,Normal,Fairy,270,110,160,115,45,20,45,25,20,1,False
40,Wigglytuff,Normal,Fairy,435,200,235,140,70,45,85,50,45,1,False
41,Zubat,Poison,Flying,245,130,115,40,45,35,30,40,55,1,False
42,Golbat,Poison,Flying,455,235,220,75,80,70,65,75,90,1,False
43,Oddish,Grass,Poison,320,155,165,45,50,55,75,65,30,1,False
44,Gloom,Grass,Poison,395,190,205,60,65,70,85,75,40,1,False
45,Vileplume,Grass,Poison,490,240,250,75,80,85,110,90,50,1,False
46,Paras,Bug,Grass,285,140,145,35,70,55,45,55,25,1,False
47,Parasect,Bug,Grass,405,185,220,60,95,80,60,80,30,1,False
48,Venonat,Bug,Poison,305,140,165,60,55,50,40,55,45,1,False
49,Venomoth,Bug,Poison,450,245,205,70,65,60,90,75,90,1,False
50,Diglett,Ground,,265,185,80,10,55,25,35,45,95,1,False
51,Dugtrio,Ground,,405,250,155,35,80,50,50,70,120,1,False
52,Meowth,Normal,,290,175,115,40,45,35,40,40,90,1,False
53,Persian,Normal,,440,250,190,65,70,60,65,65,115,1,False
54,Psyduck,Water,,320,172,148,50,52,48,65,50,55,1,False
55,Golduck,Water,,500,262,238,80,82,78,95,80,85,1,False
56,Mankey,Fighting,,305,185,120,40,80,35,35,45,70,1,False
57,Primeape,Fighting,,455,260,195,65,105,60,60,70,95,1,False
58,Growlithe,Fire,,350,200,150,55,70,45,70,50,60,1,False
59,Arcanine,Fire,,555,305,250,90,110,80,100,80,95,1,False
60,Poliwag,Water,,300,180,120,40,50,40,40,40,90,1,False
61,Poliwhirl,Water,,385,205,180,65,65,65,50,50,90,1,False
62,Poliwrath,Water,Fighting,510,235,275,90,95,95,70,90,70,1,False
63,Abra,Psychic,,310,215,95,25,20,15,105,55,90,1,False
64,Kadabra,Psychic,,400,260,140,40,35,30,120,70,105,1,False
65,Alakazam,Psychic,,500,305,195,55,50,45,135,95,120,1,False
65,AlakazamMega Alakazam,Psychic,,590,375,215,55,50,65,175,95,150,1,False
66,Machop,Fighting,,305,150,155,70,80,50,35,35,35,1,False
67,Machoke,Fighting,,405,195,210,80,100,70,50,60,45,1,False
68,Machamp,Fighting,,505,250,255,90,130,80,65,85,55,1,False
69,Bellsprout,Grass,Poison,300,185,115,50,75,35,70,30,40,1,False
70,Weepinbell,Grass,Poison,390,230,160,65,90,50,85,45,55,1,False
71,Victreebel,Grass,Poison,490,275,215,80,105,65,100,70,70,1,False
72,Tentacool,Water,Poison,335,160,175,40,40,35,50,100,70,1,False
73,Tentacruel,Water,Poison,515,250,265,80,70,65,80,120,100,1,False
74,Geodude,Rock,Ground,300,130,170,40,80,100,30,30,20,1,False
75,Graveler,Rock,Ground,390,175,215,55,95,115,45,45,35,1,False
76,Golem,Rock,Ground,495,220,275,80,120,130,55,65,45,1,False
77,Ponyta,Fire,,410,240,170,50,85,55,65,65,90,1,False
78,Rapidash,Fire,,500,285,215,65,100,70,80,80,105,1,False
79,Slowpoke,Water,Psychic,315,120,195,90,65,65,40,40,15,1,False
80,Slowbro,Water,Psychic,490,205,285,95,75,110,100,80,30,1,False
80,SlowbroMega Slowbro,Water,Psychic,590,235,355,95,75,180,130,80,30,1,False
81,Magnemite,Electric,Steel,325,175,150,25,35,70,95,55,45,1,False
82,Magneton,Electric,Steel,465,250,215,50,60,95,120,70,70,1,False
83,Farfetch'd,Normal,Flying,352,183,169,52,65,55,58,62,60,1,False
84,Doduo,Normal,Flying,310,195,115,35,85,45,35,35,75,1,False
85,Dodrio,Normal,Flying,460,270,190,60,110,70,60,60,100,1,False
86,Seel,Water,,325,135,190,65,45,55,45,70,45,1,False
87,Dewgong,Water,Ice,475,210,265,90,70,80,70,95,70,1,False
88,Grimer,Poison,,325,145,180,80,80,50,40,50,25,1,False
89,Muk,Poison,,500,220,280,105,105,75,65,100,50,1,False
90,Shellder,Water,,305,150,155,30,65,100,45,25,40,1,False
91,Cloyster,Water,Ice,525,250,275,50,95,180,85,45,70,1,False
92,Gastly,Ghost,Poison,310,215,95,30,35,30,100,35,80,1,False
93,Haunter,Ghost,Poison,405,260,145,45,50,45,115,55,95,1,False
94,Gengar,Ghost,Poison,500,305,195,60,65,60,130,75,110,1,False
94,GengarMega Gengar,Ghost,Poison,600,365,235,60,65,80,170,95,130,1,False
95,Onix,Rock,Ground,385,145,240,35,45,160,30,45,70,1,False
96,Drowzee,Psychic,,328,133,195,60,48,45,43,90,42,1,False
97,Hypno,Psychic,,483,213,270,85,73,70,73,115,67,1,False
98,Krabby,Water,,325,180,145,30,105,90,25,25,50,1,False
99,Kingler,Water,,475,255,220,55,130,115,50,50,75,1,False
100,Voltorb,Electric,,330,185,145,40,30,50,55,55,100,1,False
101,Electrode,Electric,,480,270,210,60,50,70,80,80,140,1,False
102,Exeggcute,Grass,Psychic,325,140,185,60,40,80,60,45,40,1,False
103,Exeggutor,Grass,Psychic,520,275,245,95,95,85,125,65,55,1,False
104,Cubone,Ground,,320,125,195,50,50,95,40,50,35,1,False
105,Marowak,Ground,,425,175,250,60,80,110,50,80,45,1,False
106,Hitmonlee,Fighting,,455,242,213,50,120,53,35,110,87,1,False
107,Hitmonchan,Fighting,,455,216,239,50,105,79,35,110,76,1,False
108,Lickitung,Normal,,385,145,240,90,55,75,60,75,30,1,False
109,Koffing,Poison,,340,160,180,40,65,95,60,45,35,1,False
110,Weezing,Poison,,490,235,255,65,90,120,85,70,60,1,False
111,Rhyhorn,Ground,Rock,345,140,205,80,85,95,30,30,25,1,False
112,Rhydon,Ground,Rock,485,215,270,105,130,120,45,45,40,1,False
113,Chansey,Normal,,450,90,360,250,5,5,35,105,50,1,False
114,Tangela,Grass,,435,215,220,65,55,115,100,40,60,1,False
115,Kangaskhan,Normal,,490,225,265,105,95,80,40,80,90,1,False
115,KangaskhanMega Kangaskhan,Normal,,590,285,305,105,125,100,60,100,100,1,False
116,Horsea,Water,,295,170,125,30,40,70,70,25,60,1,False
117,Seadra,Water,,440,245,195,55,65,95,95,45,85,1,False
118,Goldeen,Water,,320,165,155,45,67,60,35,50,63,1,False
119,Seaking,Water,,450,225,225,80,92,65,65,80,68,1,False
120,Staryu,Water,,340,200,140,30,45,55,70,55,85,1,False
121,Starmie,Water,Psychic,520,290,230,60,75,85,100,85,115,1,False
