Name,Type,Total,Total Attack,Total Defense,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
Bulbasaur,Grass,318,159,159,45,49,49,65,65,45,1,False
Ivysaur,Grass,405,202,203,60,62,63,80,80,60,1,False
Venusaur,Grass,525,262,263,80,82,83,100,100,80,1,False
VenusaurMega Venusaur,Grass,625,302,323,80,100,123,122,120,80,1,False
Charmander,Fire,309,177,132,39,52,43,60,50,65,1,False
Charmeleon,Fire,405,224,181,58,64,58,80,65,80,1,False
Charizard,Fire,534,293,241,78,84,78,109,85,100,1,False
CharizardMega Charizard X,Fire,634,360,274,78,130,111,130,85,100,1,False
CharizardMega Charizard Y,Fire,634,363,271,78,104,78,159,115,100,1,False
Squirtle,Water,314,141,173,44,48,65,50,64,43,1,False
Wartortle,Water,405,186,219,59,63,80,65,80,58,1,False
Blastoise,Water,530,246,284,79,83,100,85,105,78,1,False
BlastoiseMega Blastoise,Water,630,316,314,79,103,120,135,115,78,1,False
Caterpie,Bug,195,95,100,45,30,35,20,20,45,1,False
Metapod,Bug,205,75,130,50,20,55,25,25,30,1,False
Butterfree,Bug,395,205,190,60,45,50,90,80,70,1,False
Weedle,Bug,195,105,90,40,35,30,20,20,50,1,False
Kakuna,Bug,205,85,120,45,25,50,25,25,35,1,False
Beedrill,Bug,395,210,185,65,90,40,45,80,75,1,False
BeedrillMega Beedrill,Bug,495,310,185,65,150,40,15,80,145,1,False
Pidgey,Normal,251,136,115,40,45,40,35,35,56,1,False
Pidgeotto,Normal,349,181,168,63,60,55,50,50,71,1,False
Pidgeot,Normal,479,251,228,83,80,75,70,70,101,1,False
PidgeotMega Pidgeot,Normal,579,336,243,83,80,80,135,80,121,1,False
Rattata,Normal,253,153,100,30,56,35,25,35,72,1,False
Raticate,Normal,413,228,185,55,81,60,50,70,97,1,False
Spearow,Normal,262,161,101,40,60,30,31,31,70,1,False
Fearow,Normal,442,251,191,65,90,65,61,61,100,1,False
Ekans,Poison,288,155,133,35,60,44,40,54,55,1,False
Arbok,Poison,438,230,208,60,85,69,65,79,80,1,False
Pikachu,Electric,320,195,125,35,55,40,50,50,90,1,False
Raichu,Electric,485,290,195,60,90,55,90,80,110,1,False
Sandshrew,Ground,300,135,165,50,75,85,20,30,40,1,False
Sandslash,Ground,450,210,240,75,100,110,45,55,65,1,False
Nidoran♀,Poison,275,128,147,55,47,52,40,40,41,1,False
Nidorina,Poison,365,173,192,70,62,67,55,55,56,1,False
Nidoqueen,Poison,505,243,262,90,92,87,75,85,76,1,False
Nidoran♂,Poison,273,147,126,46,57,40,40,40,50,1,False
