,Name,Type,Total,Total Attack,Total Defense,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
0,Geodude,Rock,300,130,170,40,80,100,30,30,20,1,False
1,Graveler,Rock,390,175,215,55,95,115,45,45,35,1,False
2,Golem,Rock,495,220,275,80,120,130,55,65,45,1,False
3,Onix,Rock,385,145,240,35,45,160,30,45,70,1,False
4,Omanyte,Rock,355,165,190,35,40,100,90,55,35,1,False
5,Omastar,Rock,495,230,265,70,60,125,115,70,55,1,False
6,Kabuto,Rock,355,190,165,30,80,90,55,45,55,1,False
7,Kabutops,Rock,495,260,235,60,115,105,65,70,80,1,False
8,Aerodactyl,Rock,515,295,220,80,105,65,60,75,130,1,False
9,AerodactylMega Aerodactyl,Rock,615,355,260,80,135,85,70,95,150,1,False
10,Sudowoodo,Rock,410,160,250,70,100,115,30,65,30,2,False
11,Larvitar,Rock,300,150,150,50,64,50,45,50,41,2,False
12,Pupitar,Rock,410,200,210,70,84,70,65,70,51,2,False
13,Tyranitar,Rock,600,290,310,100,134,110,95,100,61,2,False
14,TyranitarMega Tyranitar,Rock,700,330,370,100,164,150,95,120,71,2,False
15,Nosepass,Rock,375,120,255,30,45,135,45,90,30,3,False
16,Lunatone,Rock,440,220,220,70,55,65,95,85,70,3,False
17,Solrock,Rock,440,220,220,70,95,85,55,65,70,3,False
18,Lileep,Rock,355,125,230,66,41,77,61,87,23,3,False
19,Cradily,Rock,495,205,290,86,81,97,81,107,43,3,False
20,Anorith,Rock,355,210,145,45,95,50,40,50,75,3,False
21,Armaldo,Rock,495,240,255,75,125,100,70,80,45,3,False
22,Regirock,Rock,580,200,380,80,100,200,50,100,50,3,True
23,Cranidos,Rock,350,213,137,67,125,40,30,30,58,4,False
24,Rampardos,Rock,495,288,207,97,165,60,65,50,58,4,False
25,Shieldon,Rock,350,114,236,30,42,118,42,88,30,4,False
26,Bastiodon,Rock,495,129,366,60,52,168,47,138,30,4,False
27,Bonsly,Rock,290,100,190,50,80,95,10,45,10,4,False
28,Probopass,Rock,525,170,355,60,55,145,75,150,40,4,False
29,Roggenrola,Rock,280,115,165,55,75,85,25,25,15,5,False
30,Boldore,Rock,390,175,215,70,105,105,50,40,20,5,False
31,Gigalith,Rock,515,220,295,85,135,130,60,80,25,5,False
32,Archen,Rock,401,256,145,55,112,45,74,45,70,5,False
33,Archeops,Rock,567,362,205,75,140,65,112,65,110,5,False
34,Terrakion,Rock,580,309,271,91,129,90,72,90,108,5,True
35,Binacle,Rock,306,141,165,42,52,67,39,56,50,6,False
36,Barbaracle,Rock,500,227,273,72,105,115,54,86,68,6,False
37,Tyrunt,Rock,362,182,180,58,89,77,45,45,48,6,False
38,Tyrantrum,Rock,521,261,260,82,121,119,69,59,71,6,False
39,Amaura,Rock,362,172,190,77,59,50,67,63,46,6,False
40,Aurorus,Rock,521,234,287,123,77,72,99,92,58,6,False
41,Carbink,Rock,500,150,350,50,50,150,50,150,50,6,False
42,Diancie,Rock,600,250,350,50,100,150,100,150,50,6,True
43,DiancieMega Diancie,Rock,700,430,270,50,160,110,160,110,110,6,True
44,Rhyhorn,Rock,345,140,205,80,85,95,30,30,25,1,False
45,Rhydon,Rock,485,215,270,105,130,120,45,45,40,1,False
46,Shuckle,Rock,505,25,480,20,10,230,10,230,5,2,False
47,Magcargo,Rock,410,160,250,50,50,120,80,80,30,2,False
48,Corsola,Rock,380,155,225,55,55,85,65,85,35,2,False
49,Aron,Rock,330,140,190,50,70,100,40,40,30,3,False
50,Lairon,Rock,430,180,250,60,90,140,50,50,40,3,False
51,Aggron,Rock,530,220,310,70,110,180,60,60,50,3,False
52,Relicanth,Rock,485,190,295,100,90,130,45,65,55,3,False
53,Rhyperior,Rock,535,235,300,115,140,130,55,55,40,4,False
54,Dwebble,Rock,325,155,170,50,65,85,35,35,55,5,False
55,Crustle,Rock,475,205,270,70,95,125,65,75,45,5,False
56,Tirtouga,Rock,355,153,202,54,78,103,53,45,22,5,False
57,Carracosta,Rock,495,223,272,74,108,133,83,65,32,5,False
