Name,Type,Total,Total Attack,Total Defense,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary
Squirtle,Water,314,141,173,44,48,65,50,64,43,1,False
Wartortle,Water,405,186,219,59,63,80,65,80,58,1,False
Blastoise,Water,530,246,284,79,83,100,85,105,78,1,False
BlastoiseMega Blastoise,Water,630,316,314,79,103,120,135,115,78,1,False
Psyduck,Water,320,172,148,50,52,48,65,50,55,1,False
Golduck,Water,500,262,238,80,82,78,95,80,85,1,False
Poliwag,Water,300,180,120,40,50,40,40,40,90,1,False
Poliwhirl,Water,385,205,180,65,65,65,50,50,90,1,False
Poliwrath,Water,510,235,275,90,95,95,70,90,70,1,False
Tentacool,Water,335,160,175,40,40,35,50,100,70,1,False
Tentacruel,Water,515,250,265,80,70,65,80,120,100,1,False
Slowpoke,Water,315,120,195,90,65,65,40,40,15,1,False
Slowbro,Water,490,205,285,95,75,110,100,80,30,1,False
SlowbroMega Slowbro,Water,590,235,355,95,75,180,130,80,30,1,False
Seel,Water,325,135,190,65,45,55,45,70,45,1,False
Dewgong,Water,475,210,265,90,70,80,70,95,70,1,False
Shellder,Water,305,150,155,30,65,100,45,25,40,1,False
Cloyster,Water,525,250,275,50,95,180,85,45,70,1,False
Krabby,Water,325,180,145,30,105,90,25,25,50,1,False
Kingler,Water,475,255,220,55,130,115,50,50,75,1,False
Horsea,Water,295,170,125,30,40,70,70,25,60,1,False
Seadra,Water,440,245,195,55,65,95,95,45,85,1,False
Goldeen,Water,320,165,155,45,67,60,35,50,63,1,False
Seaking,Water,450,225,225,80,92,65,65,80,68,1,False
Staryu,Water,340,200,140,30,45,55,70,55,85,1,False
Starmie,Water,520,290,230,60,75,85,100,85,115,1,False
Magikarp,Water,200,105,95,20,10,55,15,20,80,1,False
Gyarados,Water,540,266,274,95,125,79,60,100,81,1,False
GyaradosMega Gyarados,Water,640,306,334,95,155,109,70,130,81,1,False
Lapras,Water,535,230,305,130,85,80,85,95,60,1,False
Vaporeon,Water,525,240,285,130,65,60,110,95,65,1,False
Totodile,Water,314,152,162,50,65,64,44,48,43,2,False
Croconaw,Water,405,197,208,65,80,80,59,63,58,2,False
Feraligatr,Water,530,262,268,85,105,100,79,83,78,2,False
Chinchou,Water,330,161,169,75,38,38,56,56,67,2,False
Lanturn,Water,460,201,259,125,58,58,76,76,67,2,False
Marill,Water,250,80,170,70,20,50,20,50,40,2,False
Azumarill,Water,420,160,260,100,50,80,60,80,50,2,False
Politoed,Water,500,235,265,90,75,75,90,100,70,2,False
Wooper,Water,210,85,125,55,45,45,25,25,15,2,False
Quagsire,Water,430,185,245,95,85,85,65,65,35,2,False
Slowking,Water,490,205,285,95,75,80,100,110,30,2,False
Qwilfish,Water,430,235,195,65,95,75,55,55,85,2,False
Corsola,Water,380,155,225,55,55,85,65,85,35,2,False
Remoraid,Water,300,195,105,35,65,35,65,35,65,2,False
Octillery,Water,480,255,225,75,105,75,105,75,45,2,False
Mantine,Water,465,190,275,65,40,70,80,140,70,2,False
Kingdra,Water,540,275,265,75,95,95,95,95,85,2,False
Suicune,Water,580,250,330,100,75,115,90,115,85,2,True
Mudkip,Water,310,160,150,50,70,50,50,50,40,3,False
Marshtomp,Water,405,195,210,70,85,70,60,70,50,3,False
Swampert,Water,535,255,280,100,110,90,85,90,60,3,False
SwampertMega Swampert,Water,635,315,320,100,150,110,95,110,70,3,False
Lotad,Water,220,100,120,40,30,30,40,50,30,3,False
Lombre,Water,340,160,180,60,50,50,60,70,50,3,False
Ludicolo,Water,480,230,250,80,70,70,90,100,70,3,False
Wingull,Water,270,170,100,40,30,30,55,30,85,3,False
Pelipper,Water,430,200,230,60,50,100,85,70,65,3,False
Carvanha,Water,305,220,85,45,90,20,65,20,65,3,False
Sharpedo,Water,460,310,150,70,120,40,95,40,95,3,False
SharpedoMega Sharpedo,Water,560,355,205,70,140,70,110,65,105,3,False
Wailmer,Water,400,200,200,130,70,35,70,35,60,3,False
Wailord,Water,500,240,260,170,90,45,90,45,60,3,False
Barboach,Water,288,154,134,50,48,43,46,41,60,3,False
Whiscash,Water,468,214,254,110,78,73,76,71,60,3,False
Corphish,Water,308,165,143,43,80,65,50,35,35,3,False
Crawdaunt,Water,468,265,203,63,120,85,90,55,55,3,False
Feebas,Water,200,105,95,20,15,20,10,55,80,3,False
